,bathroomcnt,bedroomcnt,calculatedbathnbr,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet50,fullbathcnt,garagetotalsqft,latitude,longitude,roomcnt,yearbuilt,structuretaxvaluedollarcnt,taxvaluedollarcnt,landtaxvaluedollarcnt,taxamount,propertylandusetypeid_31.0,propertylandusetypeid_47.0,propertylandusetypeid_246.0,propertylandusetypeid_247.0,propertylandusetypeid_248.0,propertylandusetypeid_260.0,propertylandusetypeid_261.0,propertylandusetypeid_263.0,propertylandusetypeid_265.0,propertylandusetypeid_266.0,propertylandusetypeid_269.0,propertylandusetypeid_275.0
0,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.3483163549555558,0.35354170400248053,-1.3362713262575239,1.8767205659765038,-0.40401850485610574,-0.3345403573384338,-0.26186034063381786,-0.3230721370421343,0,0,0,0,0,0,0,0,0,0,1,0
1,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.37165780112067315,0.41849612773952904,-1.3362713262575239,1.8767205659765038,-0.40401769376007657,-0.3131710653423143,-0.23072773872145905,-0.30354711787518635,0,0,0,0,0,0,1,0,0,0,0,0
2,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,22.79120941906162,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-1.250574953067444,0.9403275742323195,-1.3362713262575239,1.8767205659765038,0.9155017148820844,0.7634669565413561,0.6012802103389125,0.9528679298841993,0,1,0,0,0,0,0,0,0,0,0,0
3,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,1.0206291376416199,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.32259538449294767,0.8440425922769794,-1.3362713262575239,-1.2824241483701635,0.7544788756877684,0.5641592905116021,0.40078860818088097,0.5813629324583464,0,1,0,0,0,0,0,0,0,0,0,0
4,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.033974445254207564,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.05901507080634697,0.9602684918538221,-1.3362713262575239,-1.3295755620171286,-0.011094388860953281,0.0022176836352045897,0.009417836628901884,0.05575251097053557,1,0,0,0,0,0,0,0,0,0,0,0
5,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,0.16592611237853735,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.18872532560477456,0.9713731652712632,-1.3362713262575239,-1.5181812166049893,-0.04640342675152907,-0.11444915734379135,-0.14084419222522584,-0.06706884550207576,1,0,0,0,0,0,0,0,0,0,0,0
6,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.4211158354800108,1.0379378797360548,-1.3362713262575239,1.8767205659765038,0.4028667192952035,0.09628234402980017,-0.08459793546743391,0.11812426527982574,0,0,0,0,0,1,0,0,0,0,0,0
7,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,0.5538741497074703,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,-0.19179718093258663,1.120655257652448,-1.3362713262575239,-1.3767269756640939,-0.19723687207918544,0.20031499023172514,0.40192041469967105,0.18266216008797875,1,0,0,0,0,0,0,0,0,0,0,0
8,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,0.08085906894982241,1.0835394133645404,-1.3362713262575239,1.8767205659765038,-0.4040170854380547,-0.3345403573384338,-0.26186034063381786,-0.3520650944884525,0,0,0,0,0,0,0,0,0,0,1,0
9,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,0.5996846941649743,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,0.49722345984034805,0.855624472637614,-1.3362713262575239,0.13211826103879207,0.03887723749724748,-0.13162880336851912,-0.21347334834250425,-0.043651914559698426,1,0,0,0,0,0,0,0,0,0,0,0
10,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,0.1883508544206722,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,0.35432400801890923,0.6563012389052477,-1.3362713262575239,-0.8109100119005116,0.09442514905610772,-0.0003327720896385523,-0.05319483179708428,0.07295071438183683,0,1,0,0,0,0,0,0,0,0,0,0
11,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,1.4162841757301174,0.5548913710102088,-1.3362713262575239,1.8767205659765038,-0.40403695729076977,-0.3345403573384338,-0.26186034063381786,-0.3595751750092353,0,0,0,0,0,0,0,0,0,0,1,0
12,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,1.5169397988863227,0.5478576572977358,-1.3362713262575239,1.8767205659765038,-0.4040539903073827,-0.20154764762426314,-0.06810525087562483,-0.005809916119399232,0,0,0,0,0,0,0,0,0,0,1,0
13,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,1.236755176287647,0.68889605627636,-1.3362713262575239,1.8767205659765038,-0.404033712906653,-0.3312340096183813,-0.2570433720898473,-0.35717099709291494,0,0,0,0,0,0,0,0,0,1,0,0
14,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,2.21489092815962,1.4664380517038875,-1.3362713262575239,1.8767205659765038,-0.40403817393481356,-0.3345395804710184,-0.2618592088272991,-0.40032718087795194,0,0,0,0,0,0,1,0,0,0,0,0
15,-1.3664709268106383,-1.403310785820682,-1.3664709268106383,-1.2214318742747379,-0.6029221862089431,-1.5943742304657826,-1.1974655126109939,-1.358035888053049,-1.0187458534039304,2.089003038797504,1.7896405892584368,-1.3362713262575239,1.8767205659765038,-0.4040339156806603,-0.3345395804710184,-0.2618592088272991,-0.40768848801282376,0,0,0,0,0,0,1,0,0,0,0,0
